Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,61.64,61.95,61.03,61.14,1792300,61.14
2013-11-19,62.14,62.25,61.67,61.71,1848500,61.71
2013-11-18,62.86,62.86,62.00,62.37,1233200,62.37
2013-11-15,63.00,63.10,62.33,62.61,1665500,62.61
2013-11-14,62.73,63.32,62.54,63.30,1659700,63.30
2013-11-13,61.64,62.48,61.46,62.47,1558900,62.47
2013-11-12,61.93,62.05,61.58,62.05,1175400,62.05
2013-11-11,62.35,62.56,61.70,61.94,900300,61.94
2013-11-08,61.92,62.19,61.27,62.19,1460600,62.19
2013-11-07,63.35,63.50,62.04,62.08,1495400,62.08
2013-11-06,63.16,63.58,62.95,63.35,1683700,63.35
2013-11-05,62.17,63.28,61.82,63.09,2350000,63.09
2013-11-04,63.51,64.92,62.47,62.72,6389400,62.72
2013-11-01,63.16,63.29,62.15,62.29,3515300,62.29
2013-10-31,63.74,63.84,63.18,63.25,1911700,63.25
2013-10-30,64.16,64.28,63.66,63.79,1959700,63.79
2013-10-29,63.61,64.40,63.51,64.28,2444600,64.28
2013-10-28,62.42,63.63,62.33,63.45,2928400,63.45
2013-10-25,62.02,62.43,61.78,62.43,1108500,62.43
2013-10-24,62.48,62.48,61.81,62.13,1142600,62.13
2013-10-23,61.82,62.50,61.75,62.32,1506300,62.32
2013-10-22,61.13,62.06,60.98,61.89,1415400,61.89
2013-10-21,60.50,61.11,60.25,61.05,1639200,61.05
2013-10-18,61.05,61.60,61.02,61.45,2213000,61.45
2013-10-17,60.52,61.00,60.40,60.96,1374900,60.96
2013-10-16,60.34,61.08,60.18,60.67,2181500,60.67
2013-10-15,60.28,60.45,59.92,59.99,1005400,59.99
2013-10-14,60.40,60.49,60.05,60.29,1195000,60.29
2013-10-11,60.67,60.79,60.37,60.76,931400,60.76
2013-10-10,60.05,60.66,59.84,60.66,1075300,60.66
2013-10-09,59.76,59.90,58.99,59.61,2536600,59.61
2013-10-08,59.50,60.03,59.14,59.60,2683200,59.60
2013-10-07,59.03,59.78,59.02,59.52,1444900,59.52
2013-10-04,58.89,59.43,58.66,59.36,1348600,59.36
2013-10-03,58.78,59.18,58.56,58.89,1804900,58.89
2013-10-02,58.58,58.91,58.01,58.89,1721800,58.89
2013-10-01,58.52,58.81,58.34,58.75,2176600,58.75
2013-09-30,58.79,59.07,58.59,58.73,1765000,58.73
2013-09-27,59.70,59.73,58.59,59.02,2125000,59.02
2013-09-26,59.88,60.09,59.63,59.85,1675700,59.85
2013-09-25,59.98,60.16,59.81,59.88,1778800,59.88
2013-09-24,60.15,60.18,59.67,59.96,1558200,59.96
2013-09-23,60.39,60.56,60.02,60.24,1131000,60.24
2013-09-20,61.08,61.08,60.48,60.57,2196300,60.57
2013-09-19,61.17,61.27,60.52,61.08,2646900,61.08
2013-09-18,60.57,61.43,60.29,61.21,2243200,61.21
2013-09-17,60.45,60.67,60.11,60.64,2221500,60.64
2013-09-16,61.08,61.34,60.84,60.98,1308600,60.98
2013-09-13,60.29,60.69,60.12,60.64,1144000,60.64
2013-09-12,60.06,60.27,59.84,60.12,1426600,60.12
2013-09-11,59.48,60.19,59.47,60.08,2829900,60.08
2013-09-10,60.50,60.62,59.34,59.46,2622900,59.46
2013-09-09,60.40,60.50,60.07,60.26,1839400,60.26
2013-09-06,60.58,60.79,60.14,60.23,1294100,60.23
2013-09-05,60.66,60.81,60.33,60.42,1455600,60.42
2013-09-04,60.72,60.82,60.45,60.79,1507100,60.79
2013-09-03,61.24,61.36,60.40,60.75,1627900,60.75
2013-08-30,60.64,60.90,60.48,60.71,1246200,60.71
2013-08-29,60.76,60.96,60.28,60.59,1410300,60.59
2013-08-28,61.51,61.62,61.07,61.08,1583100,60.62
2013-08-27,61.33,61.96,61.24,61.63,1521900,61.17
2013-08-26,62.77,62.77,61.67,61.70,1494100,61.24
2013-08-23,62.63,62.87,62.46,62.73,1100900,62.26
2013-08-22,62.08,62.55,61.93,62.42,1383400,61.95
2013-08-21,62.68,62.68,61.92,62.04,1925600,61.57
2013-08-20,62.84,63.30,62.60,62.61,1971200,62.14
2013-08-19,62.92,63.16,62.69,62.80,1479300,62.33
2013-08-16,64.10,64.25,62.84,62.95,3245900,62.48
2013-08-15,65.05,65.07,64.15,64.46,1994400,63.97
2013-08-14,65.94,65.95,65.42,65.42,2098400,64.93
2013-08-13,65.84,66.24,65.54,65.90,1755800,65.40
2013-08-12,65.60,65.79,65.47,65.73,1369200,65.23
2013-08-09,65.70,65.82,65.50,65.68,1496400,65.19
2013-08-08,65.68,65.86,65.43,65.66,1257500,65.17
2013-08-07,65.68,65.77,65.23,65.53,1864700,65.04
2013-08-06,65.24,65.90,64.98,65.80,2279800,65.30
2013-08-05,65.23,65.45,64.86,65.18,1384300,64.69
2013-08-02,65.54,65.56,64.26,65.23,2846700,64.74
2013-08-01,65.94,66.11,65.05,65.42,3969600,64.93
2013-07-31,66.64,66.83,66.12,66.24,2210000,65.74
2013-07-30,67.06,67.43,66.44,66.45,1707000,65.95
2013-07-29,66.75,67.27,66.51,66.89,1033400,66.39
2013-07-26,66.63,67.09,66.21,66.98,1057000,66.48
2013-07-25,66.75,67.17,66.61,66.97,1122100,66.47
2013-07-24,67.25,67.36,66.69,66.87,796200,66.37
2013-07-23,67.53,67.66,67.01,67.23,1154500,66.72
2013-07-22,67.21,67.98,67.06,67.46,1552900,66.95
2013-07-19,66.90,67.34,66.68,67.32,1442800,66.81
2013-07-18,66.28,66.80,66.22,66.64,809600,66.14
2013-07-17,66.35,66.50,66.05,66.18,1202300,65.68
2013-07-16,66.30,66.61,66.10,66.31,937800,65.81
2013-07-15,66.38,66.70,66.25,66.52,1154100,66.02
2013-07-12,66.53,66.68,66.18,66.50,1373300,66.00
2013-07-11,66.71,66.76,66.35,66.53,1565900,66.03
2013-07-10,65.86,66.17,65.63,65.97,1664300,65.47
2013-07-09,66.00,66.50,65.79,65.92,1049800,65.42
2013-07-08,65.58,65.94,65.18,65.73,1341100,65.23
2013-07-05,65.22,65.45,64.62,65.34,892500,64.85
2013-07-03,65.30,65.30,64.63,65.06,774000,64.57
2013-07-02,64.74,65.48,64.54,65.11,1861200,64.62
