Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,42.51,43.23,42.50,42.88,926400,42.88
2013-11-19,42.96,43.24,42.66,42.86,682900,42.86
2013-11-18,43.64,43.64,42.69,43.31,1040500,43.31
2013-11-15,44.00,44.21,43.85,43.98,320100,43.98
2013-11-14,44.30,44.30,43.77,43.97,354400,43.97
2013-11-13,43.93,44.42,43.55,44.37,261000,44.37
2013-11-12,44.00,44.38,43.20,44.14,361700,44.14
2013-11-11,44.10,44.42,43.62,43.98,253700,43.98
2013-11-08,43.95,44.24,43.53,44.09,338700,44.09
2013-11-07,44.01,44.19,43.80,44.05,482100,44.05
2013-11-06,44.08,44.27,43.59,44.00,307300,44.00
2013-11-05,44.14,44.35,43.65,44.09,325600,44.09
2013-11-04,43.69,44.30,43.68,44.20,336100,44.20
2013-11-01,42.75,44.18,42.47,43.43,1490100,43.43
2013-10-31,43.75,44.21,40.10,41.99,1466600,41.99
2013-10-30,43.72,44.01,42.77,43.38,654000,43.38
2013-10-29,43.89,44.11,43.62,43.77,187000,43.77
2013-10-28,44.39,44.55,43.89,43.90,184400,43.90
2013-10-25,44.52,44.52,43.99,44.31,175900,44.31
2013-10-24,43.76,44.55,43.76,44.55,273600,44.55
2013-10-23,44.04,44.04,43.54,43.81,81500,43.81
2013-10-22,43.99,44.14,43.58,44.11,288600,44.11
2013-10-21,43.85,43.99,43.60,43.98,248000,43.98
2013-10-18,43.66,43.95,43.52,43.93,181500,43.93
2013-10-17,42.92,43.90,42.90,43.53,264300,43.53
2013-10-16,42.07,43.25,42.07,43.12,310400,43.12
2013-10-15,42.05,42.70,41.82,41.99,153100,41.99
2013-10-14,42.09,42.35,41.72,42.02,396800,42.02
2013-10-11,42.43,42.62,42.00,42.23,312900,42.23
2013-10-10,42.69,42.82,42.13,42.57,234600,42.57
2013-10-09,42.39,43.18,41.95,42.22,508900,42.22
2013-10-08,42.53,42.84,41.10,41.58,1117700,41.58
2013-10-07,43.74,44.13,42.50,42.55,499300,42.55
2013-10-04,43.09,44.17,42.97,43.98,330200,43.98
2013-10-03,43.97,44.07,43.06,43.25,257300,43.25
2013-10-02,44.40,44.79,43.93,44.04,318000,44.04
2013-10-01,44.81,45.50,44.26,44.67,543600,44.67
2013-09-30,44.57,45.11,44.01,44.88,203900,44.88
2013-09-27,44.91,45.07,44.45,44.93,276400,44.93
2013-09-26,44.66,45.31,44.61,45.10,230500,45.10
2013-09-25,44.81,45.09,44.50,44.69,174400,44.69
2013-09-24,45.00,45.20,44.65,44.76,505000,44.76
